months_as_customer,age,policy_state,policy_csl,policy_deductible,policy_annual_premium,education_level,occupation,incident_type,collision_type,incident_severity,authorities_contacted,auto_make,auto_year,total_claim_amount,vehicle_age,claim_ratio,fraud_reported
443,44,IN,250/500,1000,641,High School,sales,Vehicle Theft,Side Collision,Major Damage,Ambulance,Honda,2021,9787,3,15.268330733229329,0
270,43,IN,500/1000,1000,2467,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Fire,Ford,2003,191747,21,77.72476692338873,0
63,26,IL,500/1000,500,2031,Masters,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,Toyota,2003,60711,21,29.892171344165437,1
203,70,IL,100/300,2000,2881,College,tech-support,Vehicle Theft,Rear Collision,Minor Damage,Police,Honda,2016,127888,8,44.390142311697325,0
16,46,IN,100/300,1000,2815,Masters,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,Toyota,1999,59643,25,21.187566607460035,1
201,78,OH,500/1000,500,981,High School,tech-support,Vehicle Theft,Side Collision,Major Damage,None,Honda,2009,50678,15,51.65953109072375,0
406,57,OH,500/1000,1000,2311,High School,tech-support,Vehicle Theft,Side Collision,Total Loss,None,Honda,2006,9770,18,4.227607096495023,0
162,44,IL,100/300,500,1610,College,sales,Multi-vehicle Collision,Front Collision,Major Damage,Police,Toyota,2006,29933,18,18.59192546583851,1
380,59,OH,100/300,500,2144,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,None,Toyota,2007,87716,17,40.91231343283582,1
190,25,IL,100/300,1000,2330,High School,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,Honda,2003,183024,21,78.5510729613734,1
529,41,OH,500/1000,2000,682,High School,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,Ford,2007,191590,17,280.92375366568916,1
19,29,OH,100/300,500,2992,High School,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,Police,Toyota,2021,124053,3,41.461564171122994,1
324,47,OH,500/1000,1000,2274,High School,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,Police,Ford,1996,168708,28,74.18997361477572,1
266,31,IN,500/1000,1000,2063,Masters,sales,Vehicle Theft,Front Collision,Major Damage,Police,Honda,1997,138103,27,66.9428017450315,1
268,52,IL,100/300,2000,2498,College,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,Ford,2019,51583,5,20.649719775820657,0
438,60,IN,500/1000,500,874,High School,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,None,Honda,1997,80003,27,91.53661327231121,1
23,57,IL,250/500,2000,1641,High School,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,None,Toyota,2018,22312,6,13.596587446678855,1
202,77,IN,500/1000,2000,2002,Masters,sales,Vehicle Theft,Front Collision,Minor Damage,Fire,Toyota,2002,133001,22,66.43406593406593,1
486,18,IL,100/300,500,1957,High School,sales,Vehicle Theft,Side Collision,Total Loss,Police,Honda,2021,8597,3,4.392948390393459,0
234,68,IN,250/500,2000,2672,Masters,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,Toyota,1999,9036,25,3.3817365269461077,0
201,66,OH,100/300,2000,2978,College,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Police,Toyota,2011,134004,13,44.99798522498321,0
379,40,IL,500/1000,1000,1877,High School,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,Ford,2006,1138,18,0.6062866275972296,0
280,78,IL,100/300,2000,2686,Masters,tech-support,Single Vehicle Collision,Side Collision,Major Damage,None,Honda,2019,176767,5,65.81049888309754,1
520,45,OH,100/300,500,2711,College,exec-managerial,Vehicle Theft,Side Collision,Minor Damage,Fire,Ford,2016,2708,8,0.99889339727038,0
395,56,OH,100/300,500,1057,College,sales,Single Vehicle Collision,Side Collision,Total Loss,Fire,Honda,2017,107233,7,101.45033112582782,1
216,40,IL,500/1000,2000,1203,High School,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,Police,Honda,2021,153155,3,127.31088944305903,1
365,52,IL,100/300,500,2884,High School,tech-support,Vehicle Theft,Side Collision,Major Damage,Ambulance,Ford,1999,157590,25,54.642857142857146,1
114,49,IN,100/300,1000,1182,Masters,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Police,Honda,2003,53887,21,45.58967851099831,1
303,52,IL,250/500,1000,612,Masters,sales,Vehicle Theft,Side Collision,Minor Damage,None,Toyota,1999,121356,25,198.2941176470588,0
188,26,IL,100/300,2000,2741,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Fire,Honda,2000,198706,24,72.4939802991609,1
188,30,OH,250/500,500,2630,Masters,sales,Multi-vehicle Collision,Front Collision,Total Loss,Fire,Honda,2022,112041,2,42.601140684410645,1
508,51,IL,500/1000,2000,1473,College,exec-managerial,Vehicle Theft,Rear Collision,Minor Damage,Ambulance,Toyota,2001,68904,23,46.77800407331976,1
533,36,OH,500/1000,500,1804,College,exec-managerial,Single Vehicle Collision,Side Collision,Total Loss,None,Honda,2004,90571,20,50.20565410199556,1
160,67,IN,250/500,1000,1511,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,None,Toyota,2021,72126,3,47.73395102581072,1
290,35,IN,500/1000,2000,2239,High School,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,Fire,Toyota,2020,51961,4,23.207235372934345,0
343,41,IN,100/300,1000,2872,High School,tech-support,Vehicle Theft,Front Collision,Minor Damage,Ambulance,Ford,2003,137865,21,48.003133704735376,1
141,36,OH,250/500,2000,2948,College,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,None,Ford,2019,24478,5,8.30325644504749,1
235,30,OH,100/300,2000,2308,Masters,tech-support,Multi-vehicle Collision,Front Collision,Minor Damage,None,Ford,2013,195187,11,84.56975736568458,1
502,65,IL,100/300,2000,2019,College,sales,Vehicle Theft,Front Collision,Total Loss,Police,Toyota,2012,28364,12,14.048538880633977,0
528,26,OH,250/500,2000,1451,College,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,Police,Honda,2003,19135,21,13.187456926257754,1
3,45,IN,100/300,1000,1961,High School,tech-support,Vehicle Theft,Side Collision,Minor Damage,Police,Toyota,2016,142365,8,72.59816420193779,1
53,27,IN,100/300,500,2315,College,sales,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,Toyota,1997,183885,27,79.43196544276458,1
536,46,IL,100/300,1000,2777,High School,exec-managerial,Vehicle Theft,Front Collision,Major Damage,None,Ford,2016,176796,8,63.66438602808786,1
421,23,IL,100/300,500,532,Masters,sales,Vehicle Theft,Front Collision,Major Damage,None,Ford,2015,153035,9,287.65977443609023,1
307,26,IL,100/300,2000,1979,High School,sales,Vehicle Theft,Side Collision,Minor Damage,Police,Toyota,1996,88265,28,44.60080848913593,1
471,61,IN,250/500,500,1130,High School,sales,Vehicle Theft,Side Collision,Major Damage,Police,Toyota,2021,178241,3,157.7353982300885,1
26,42,IN,500/1000,500,2814,High School,tech-support,Vehicle Theft,Side Collision,Total Loss,Ambulance,Toyota,2011,33430,13,11.879886282871357,0
569,64,IL,100/300,1000,2276,College,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Police,Honda,2000,176841,24,77.6981546572935,1
277,63,OH,250/500,1000,2993,College,sales,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,Honda,1997,169925,27,56.77413965920481,1
493,60,OH,100/300,2000,2880,College,exec-managerial,Vehicle Theft,Rear Collision,Minor Damage,None,Ford,2022,32279,2,11.207986111111111,0
446,74,IL,100/300,500,2821,Masters,exec-managerial,Vehicle Theft,Rear Collision,Major Damage,Fire,Honda,2000,190699,24,67.59978730946473,1
125,51,OH,500/1000,2000,744,College,sales,Vehicle Theft,Front Collision,Major Damage,None,Honda,1998,112086,26,150.65322580645162,1
593,76,IN,250/500,500,585,High School,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,Ford,2015,129727,9,221.75555555555556,1
567,25,IL,250/500,500,848,Masters,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,Ford,2021,56841,3,67.02948113207547,1
327,66,IL,100/300,1000,773,High School,tech-support,Single Vehicle Collision,Side Collision,Major Damage,None,Toyota,2012,64232,12,83.09443725743856,0
266,76,IL,100/300,500,2424,College,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,None,Toyota,2003,85700,21,35.35478547854785,1
99,29,IN,500/1000,2000,1632,Masters,exec-managerial,Vehicle Theft,Side Collision,Major Damage,None,Toyota,2015,134251,9,82.26164215686275,0
109,46,OH,500/1000,2000,2081,College,tech-support,Vehicle Theft,Rear Collision,Total Loss,Ambulance,Toyota,1995,92502,29,44.45074483421432,0
189,53,IN,100/300,1000,789,High School,tech-support,Vehicle Theft,Front Collision,Total Loss,Police,Toyota,2015,189221,9,239.82382762991128,1
566,23,OH,100/300,1000,2938,Masters,sales,Single Vehicle Collision,Front Collision,Total Loss,None,Ford,2016,154390,8,52.54935330156569,1
511,53,IL,100/300,500,2432,Masters,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Police,Toyota,2010,31106,14,12.790296052631579,0
496,76,IL,250/500,2000,1545,High School,sales,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,Ford,2004,135345,20,87.60194174757281,1
254,26,OH,500/1000,1000,2083,Masters,tech-support,Vehicle Theft,Front Collision,Minor Damage,Fire,Toyota,1995,174784,29,83.90974555928949,0
88,19,IL,500/1000,2000,1506,Masters,sales,Vehicle Theft,Front Collision,Major Damage,Police,Toyota,1996,14050,28,9.329349269588313,0
582,23,OH,500/1000,500,1060,Masters,tech-support,Vehicle Theft,Front Collision,Minor Damage,Ambulance,Honda,2009,86091,15,81.2179245283019,1
369,36,IL,500/1000,1000,2324,College,sales,Single Vehicle Collision,Side Collision,Total Loss,Police,Ford,2000,188256,24,81.0051635111876,1
193,22,IL,250/500,500,2355,College,exec-managerial,Vehicle Theft,Side Collision,Total Loss,Fire,Toyota,2014,122950,10,52.20806794055202,1
376,39,IL,100/300,500,1339,Masters,sales,Vehicle Theft,Side Collision,Major Damage,None,Ford,2013,12442,11,9.292008961911874,0
124,50,OH,250/500,500,2878,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Minor Damage,Police,Toyota,2022,155692,2,54.09728978457262,0
318,67,OH,500/1000,1000,2744,Masters,sales,Multi-vehicle Collision,Side Collision,Total Loss,None,Toyota,2007,47163,17,17.18768221574344,1
526,40,IL,250/500,500,1259,High School,sales,Vehicle Theft,Rear Collision,Minor Damage,Police,Honda,2023,187384,1,148.83558379666403,1
412,79,OH,100/300,1000,1991,High School,tech-support,Vehicle Theft,Front Collision,Total Loss,Ambulance,Ford,2004,23625,20,11.865896534404822,0
586,55,IN,250/500,2000,718,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,Ford,2014,27990,10,38.98328690807799,0
134,32,IL,250/500,500,980,College,tech-support,Vehicle Theft,Side Collision,Major Damage,Police,Toyota,2013,43137,11,44.01734693877551,0
315,39,IL,100/300,2000,1771,College,sales,Multi-vehicle Collision,Front Collision,Minor Damage,None,Toyota,2011,174123,13,98.31902879728966,1
83,18,IN,100/300,500,2593,College,sales,Multi-vehicle Collision,Front Collision,Major Damage,Fire,Ford,2016,79513,8,30.664481295796374,0
127,42,IL,500/1000,500,2926,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,Toyota,2003,76945,21,26.296992481203006,1
39,66,OH,500/1000,2000,2003,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,Police,Ford,2010,153353,14,76.5616575137294,1
314,50,IL,250/500,1000,1827,Masters,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,Ford,2007,114143,17,62.47564313081554,1
494,59,OH,100/300,500,889,Masters,tech-support,Vehicle Theft,Front Collision,Minor Damage,Fire,Toyota,2003,150329,21,169.0989876265467,1
445,75,IL,500/1000,1000,2541,College,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,Fire,Ford,2016,11751,8,4.624557260920898,1
214,24,OH,500/1000,1000,2635,Masters,tech-support,Vehicle Theft,Side Collision,Major Damage,Fire,Honda,2019,188776,5,71.64174573055028,1
21,67,IL,500/1000,500,2850,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,None,Honda,2017,58620,7,20.568421052631578,1
153,62,IL,250/500,2000,2071,College,sales,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,Toyota,2011,125116,13,60.4133268952197,1
109,52,IL,250/500,500,2808,College,exec-managerial,Single Vehicle Collision,Side Collision,Total Loss,Fire,Toyota,2016,191920,8,68.34757834757835,0
558,69,IL,500/1000,500,1924,Masters,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,None,Honda,2016,65925,8,34.264553014553016,1
499,31,IN,250/500,2000,614,College,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,Ford,2009,179933,15,293.0504885993485,1
382,45,IL,100/300,500,518,Masters,sales,Vehicle Theft,Rear Collision,Minor Damage,Police,Honda,1996,137690,28,265.81081081081084,1
93,65,IL,100/300,500,744,High School,tech-support,Vehicle Theft,Rear Collision,Minor Damage,Ambulance,Toyota,1999,131841,25,177.20564516129033,1
103,70,OH,100/300,1000,1028,Masters,tech-support,Vehicle Theft,Front Collision,Total Loss,Ambulance,Toyota,2015,162770,9,158.33657587548637,1
25,71,OH,100/300,500,1004,College,tech-support,Vehicle Theft,Side Collision,Major Damage,Police,Ford,2008,12676,16,12.625498007968128,0
429,32,IL,500/1000,500,1041,High School,sales,Vehicle Theft,Rear Collision,Major Damage,Fire,Ford,2019,170831,5,164.10278578290107,1
49,62,IN,250/500,500,2882,High School,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,Ford,2016,154407,8,53.5763358778626,1
507,77,IL,250/500,2000,2643,Masters,sales,Vehicle Theft,Rear Collision,Major Damage,None,Toyota,2003,15683,21,5.933787362845251,1
504,32,OH,100/300,1000,2861,High School,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,None,Toyota,1997,64972,27,22.70954211814051,1
571,24,OH,500/1000,1000,2948,Masters,exec-managerial,Vehicle Theft,Front Collision,Major Damage,None,Honda,1999,88796,25,30.120759837177747,1
445,30,IL,250/500,2000,2348,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,None,Honda,2006,111986,18,47.694207836456556,1
514,67,IL,250/500,2000,1157,College,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,Ford,2000,13226,24,11.431287813310286,0
156,38,IN,250/500,500,1422,Masters,sales,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,Ford,1998,156103,26,109.77707454289732,1
340,75,OH,100/300,500,1593,High School,tech-support,Vehicle Theft,Side Collision,Minor Damage,None,Honda,2012,86679,12,54.41242937853107,0
504,57,IL,100/300,2000,603,High School,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Police,Honda,2023,170509,1,282.76782752902153,0
299,78,IL,500/1000,500,1974,High School,exec-managerial,Vehicle Theft,Side Collision,Total Loss,None,Toyota,2007,64344,17,32.59574468085106,1
499,71,IL,250/500,2000,1007,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,Honda,2011,149447,13,148.40814299900694,1
235,75,IL,500/1000,500,2685,Masters,tech-support,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,Ford,1996,34340,28,12.789571694599628,0
211,40,IL,250/500,1000,1838,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Police,Honda,2014,80768,10,43.94341675734494,0
189,35,IL,500/1000,1000,2245,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,Police,Ford,2019,79824,5,35.55634743875278,0
64,24,OH,500/1000,1000,2249,College,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,Fire,Honda,2014,136601,10,60.738550466874166,1
43,32,IN,250/500,1000,589,College,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Police,Honda,1996,185099,28,314.2597623089983,1
150,37,OH,250/500,1000,1139,Masters,sales,Multi-vehicle Collision,Side Collision,Total Loss,None,Toyota,2021,198870,3,174.60052677787533,1
215,41,IL,100/300,2000,678,High School,sales,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,Toyota,2002,166070,22,244.9410029498525,1
276,77,IL,100/300,2000,1444,High School,sales,Multi-vehicle Collision,Front Collision,Total Loss,Fire,Ford,1996,84014,28,58.1814404432133,1
276,67,IN,250/500,2000,2540,Masters,exec-managerial,Multi-vehicle Collision,Front Collision,Major Damage,None,Honda,2001,147480,23,58.06299212598425,1
36,54,IN,250/500,2000,1861,College,exec-managerial,Vehicle Theft,Side Collision,Major Damage,Fire,Ford,2017,46066,7,24.75335840945728,0
453,55,IN,250/500,2000,2463,College,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,Ford,2004,162206,20,65.85708485586683,1
89,65,IN,500/1000,500,1922,College,exec-managerial,Vehicle Theft,Side Collision,Total Loss,Ambulance,Toyota,2011,102407,13,53.28147762747138,1
82,30,OH,500/1000,1000,1734,Masters,tech-support,Vehicle Theft,Rear Collision,Total Loss,Ambulance,Ford,2019,110373,5,63.6522491349481,0
229,23,IL,100/300,500,2735,College,sales,Vehicle Theft,Rear Collision,Total Loss,None,Toyota,2007,199303,17,72.87129798903108,1
120,45,OH,250/500,2000,2166,High School,sales,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,Ford,2002,64293,22,29.682825484764543,1
387,76,OH,500/1000,2000,848,Masters,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Police,Ford,2015,178747,9,210.7865566037736,1
525,62,IL,250/500,1000,775,High School,tech-support,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,Toyota,2011,17279,13,22.295483870967743,0
109,40,IN,500/1000,1000,1634,Masters,tech-support,Vehicle Theft,Front Collision,Minor Damage,None,Toyota,2023,53495,1,32.73867809057528,0
511,34,IN,500/1000,500,997,High School,sales,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,Toyota,2015,182871,9,183.42126379137412,1
143,26,IN,500/1000,500,2931,College,tech-support,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,Toyota,2006,36554,18,12.47151142954623,0
140,50,OH,250/500,500,1452,Masters,sales,Single Vehicle Collision,Side Collision,Major Damage,Fire,Ford,2005,192078,19,132.28512396694214,1
416,75,OH,100/300,500,923,Masters,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Police,Toyota,2013,71453,11,77.41386782231852,1
371,28,OH,100/300,2000,1973,Masters,exec-managerial,Vehicle Theft,Side Collision,Minor Damage,Fire,Ford,2018,193485,6,98.06639635073492,0
293,68,IN,250/500,500,2605,High School,sales,Single Vehicle Collision,Front Collision,Total Loss,None,Honda,2013,26954,11,10.347024952015355,1
210,65,OH,500/1000,1000,1422,High School,exec-managerial,Vehicle Theft,Side Collision,Major Damage,Police,Toyota,1996,6698,28,4.710267229254571,0
73,43,IN,500/1000,2000,651,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,Ford,2006,144464,18,221.91090629800308,1
162,40,IL,250/500,2000,586,Masters,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Fire,Ford,2020,160892,4,274.5597269624573,0
469,79,OH,100/300,1000,2288,Masters,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,Toyota,2015,26464,9,11.566433566433567,0
112,61,IL,500/1000,2000,1029,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,None,Honda,2004,54592,20,53.053449951409135,1
203,78,OH,250/500,500,2216,Masters,tech-support,Vehicle Theft,Front Collision,Major Damage,Police,Toyota,2003,31266,21,14.109205776173285,0
30,28,IL,250/500,500,1390,Masters,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,Fire,Toyota,2001,32417,23,23.32158273381295,0
247,48,OH,100/300,2000,777,High School,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,Honda,2016,166289,8,214.014157014157,1
208,25,IN,500/1000,500,1028,College,sales,Single Vehicle Collision,Front Collision,Major Damage,Police,Honda,2007,118509,17,115.28112840466926,1
72,78,IL,250/500,500,768,High School,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,Police,Honda,2020,123672,4,161.03125,1
5,43,IN,250/500,2000,1971,College,sales,Single Vehicle Collision,Front Collision,Major Damage,Fire,Toyota,2001,15719,23,7.975139523084729,0
575,60,IL,500/1000,500,2966,Masters,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,Police,Ford,2005,182297,19,61.46223870532704,1
141,23,IN,250/500,500,962,Masters,sales,Vehicle Theft,Rear Collision,Minor Damage,Fire,Toyota,1996,145670,28,151.42411642411642,1
171,48,OH,500/1000,500,1461,Masters,exec-managerial,Vehicle Theft,Rear Collision,Minor Damage,Police,Ford,2004,28877,20,19.765229295003422,0
423,77,IN,500/1000,1000,2720,Masters,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Police,Honda,2006,53227,18,19.56875,0
146,32,IN,100/300,500,1725,College,exec-managerial,Vehicle Theft,Side Collision,Major Damage,Ambulance,Ford,2011,172103,13,99.76985507246377,1
416,39,IN,500/1000,1000,1716,College,exec-managerial,Vehicle Theft,Front Collision,Total Loss,Fire,Ford,2003,57635,21,33.586829836829835,1
530,66,IL,100/300,500,2314,College,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,Ford,2019,36739,5,15.876836646499568,0
495,42,IN,250/500,1000,1516,College,sales,Multi-vehicle Collision,Side Collision,Total Loss,Police,Toyota,2008,78154,16,51.55277044854881,1
99,28,IL,100/300,500,1184,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,None,Toyota,2004,157625,20,133.12922297297297,1
241,68,IN,500/1000,500,686,College,sales,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,Honda,2006,164515,18,239.81778425655978,0
474,76,IL,500/1000,2000,2619,Masters,exec-managerial,Vehicle Theft,Side Collision,Major Damage,Ambulance,Toyota,2005,197624,19,75.4578083237877,1
520,22,IN,250/500,500,575,High School,sales,Vehicle Theft,Rear Collision,Major Damage,Ambulance,Toyota,2014,184419,10,320.72869565217394,1
228,64,IN,500/1000,500,1117,High School,tech-support,Vehicle Theft,Side Collision,Minor Damage,None,Toyota,2000,5926,24,5.305282005371531,0
146,22,IN,250/500,500,2310,Masters,sales,Single Vehicle Collision,Side Collision,Major Damage,Fire,Toyota,1998,167421,26,72.47662337662338,1
550,23,IL,500/1000,500,647,High School,sales,Multi-vehicle Collision,Front Collision,Total Loss,Fire,Ford,1999,27553,25,42.585780525502315,0
589,59,OH,250/500,2000,2682,Masters,sales,Multi-vehicle Collision,Side Collision,Total Loss,Police,Toyota,2023,101766,1,37.94407158836689,1
187,69,IN,250/500,1000,2863,High School,sales,Vehicle Theft,Front Collision,Total Loss,Ambulance,Toyota,2005,165726,19,57.885434858539995,1
306,29,IL,100/300,500,1871,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,Fire,Honda,2018,180971,6,96.72421165152325,1
296,67,IL,500/1000,500,511,Masters,sales,Vehicle Theft,Front Collision,Major Damage,Fire,Toyota,2010,146281,14,286.2641878669276,1
96,78,IN,250/500,500,1344,High School,sales,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,Toyota,2016,87483,8,65.09151785714286,1
336,51,IN,100/300,1000,2559,High School,sales,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,Ford,2022,29992,2,11.720203204376709,0
386,48,OH,250/500,1000,1026,High School,tech-support,Vehicle Theft,Front Collision,Major Damage,Fire,Honda,1999,90745,25,88.44541910331384,1
314,29,IN,250/500,500,1943,College,sales,Vehicle Theft,Front Collision,Minor Damage,None,Toyota,2007,29835,17,15.355120946989192,0
480,62,IL,500/1000,500,2278,College,exec-managerial,Vehicle Theft,Rear Collision,Major Damage,None,Toyota,2007,188990,17,82.96312554872695,1
527,61,OH,100/300,1000,1055,College,tech-support,Single Vehicle Collision,Side Collision,Total Loss,None,Ford,2008,111634,16,105.81421800947868,1
476,36,IN,250/500,1000,1299,High School,exec-managerial,Vehicle Theft,Front Collision,Minor Damage,Police,Honda,2019,41542,5,31.979984603541187,0
508,44,OH,500/1000,500,2378,Masters,exec-managerial,Vehicle Theft,Rear Collision,Total Loss,Police,Honda,2020,69111,4,29.062657695542473,1
193,75,OH,500/1000,500,2372,College,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Police,Ford,2022,129674,2,54.66863406408095,1
212,62,OH,500/1000,2000,670,High School,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,Police,Toyota,2016,76986,8,114.9044776119403,1
26,40,IL,100/300,500,1543,Masters,exec-managerial,Vehicle Theft,Side Collision,Total Loss,Ambulance,Honda,2005,77441,19,50.18859364873623,0
427,36,IN,250/500,1000,1892,College,tech-support,Vehicle Theft,Side Collision,Major Damage,Ambulance,Ford,2005,89422,19,47.26321353065539,1
563,70,OH,250/500,500,1099,High School,tech-support,Single Vehicle Collision,Front Collision,Major Damage,Fire,Toyota,2014,16989,10,15.45859872611465,0
7,63,IN,500/1000,1000,2524,Masters,tech-support,Vehicle Theft,Rear Collision,Total Loss,Ambulance,Toyota,2020,149376,4,59.182250396196515,1
164,31,IN,500/1000,1000,847,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,Ford,2008,146399,16,172.84415584415584,1
507,64,OH,250/500,1000,921,Masters,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,Police,Honda,2011,18576,13,20.169381107491855,0
496,78,IN,250/500,2000,1319,High School,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,None,Ford,2016,140993,8,106.89385898407885,1
178,26,OH,500/1000,500,1419,Masters,sales,Vehicle Theft,Side Collision,Total Loss,None,Honda,2019,49785,5,35.084566596194506,0
355,64,IL,500/1000,2000,2807,High School,tech-support,Vehicle Theft,Rear Collision,Major Damage,None,Ford,2003,37483,21,13.353402208763805,1
66,61,IN,250/500,1000,1192,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,Fire,Honda,2017,6209,7,5.208892617449664,0
598,36,OH,250/500,2000,1880,College,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Police,Honda,2021,165744,3,88.16170212765958,1
541,50,IL,250/500,500,770,College,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,Ford,2005,180921,19,234.96233766233766,1
364,76,IL,250/500,2000,1079,Masters,sales,Single Vehicle Collision,Rear Collision,Minor Damage,None,Honda,1996,20627,28,19.11677479147359,1
503,74,OH,500/1000,2000,643,Masters,sales,Vehicle Theft,Side Collision,Total Loss,Police,Toyota,2020,103828,4,161.47433903576982,0
197,59,OH,500/1000,1000,1389,Masters,exec-managerial,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,Ford,2004,101699,20,73.2174226061915,1
396,64,IN,100/300,500,1403,Masters,sales,Vehicle Theft,Side Collision,Minor Damage,Ambulance,Toyota,2002,58174,22,41.464005702067,0
9,77,IN,100/300,500,1516,Masters,exec-managerial,Vehicle Theft,Rear Collision,Major Damage,Police,Honda,2018,15308,6,10.097625329815303,0
208,63,OH,100/300,1000,2559,High School,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Police,Toyota,2017,15506,7,6.0593982024228215,0
25,35,IN,100/300,2000,2369,College,exec-managerial,Vehicle Theft,Front Collision,Total Loss,None,Ford,2009,187504,15,79.14900802026172,1
481,21,IN,100/300,1000,2531,Masters,sales,Multi-vehicle Collision,Side Collision,Major Damage,Police,Toyota,1999,180736,25,71.40892927696562,1
